,open,high,low,close,volume
20220121,61600,62000,61300,61600,6423
20220120,62300,62400,61100,62200,11475
20220119,62900,63000,61100,61900,25331
20220118,62700,63300,62000,63300,7752
20220117,63000,63400,62100,62500,8495
20220114,64500,64500,63000,63500,13543
20220113,64400,64800,63800,64000,11811
20220112,63700,64700,63500,64400,14709
20220111,63500,64100,63000,63900,13586
20220110,63200,64000,63000,63400,6514
20220107,62900,65000,62400,63500,16092
20220106,62600,63700,62400,63500,15635
20220105,62200,63000,62100,62600,12625
20220104,62900,63000,62100,62700,20102
20220103,63800,64000,62700,62900,12574
20211230,64300,64300,63400,63400,10446
20211229,64900,65000,63600,63800,14000
20211228,65800,66000,65100,65800,19733
20211227,64900,65400,64900,65300,9976
20211224,64500,65300,64400,65100,15577
20211223,64000,64700,64000,64700,11125
20211222,64100,64600,63900,64100,12199
20211221,64900,64900,64200,64200,15635
20211220,64600,64900,64000,64600,14858
20211217,64000,65000,63800,65000,15276
20211216,64300,64600,63800,64100,10713
20211215,64200,64400,63500,64200,16019
20211214,64400,64600,63700,64100,21335
20211213,65100,65300,64500,64500,20959
20211210,65700,65700,64200,65000,26705
20211209,63400,65700,63300,65700,45685
20211208,64200,64500,63500,63500,23825
20211207,63500,64200,62700,63800,18159
20211206,63100,63500,61800,63200,17186
20211203,62000,63400,61600,63300,24739
20211202,61200,62600,60100,62200,25135
20211201,61200,61500,60600,61200,17454
20211130,62500,62600,61100,61200,34808
20211129,63500,66000,62300,62500,27813
20211126,64700,64700,63200,64000,18044
20211125,65300,65300,64400,64600,16700
20211124,65200,65700,65000,65200,16865
20211123,65300,66100,65200,65600,16204
20211122,65300,65900,65000,65800,18465
20211119,65500,66100,65100,65500,14176
20211118,66000,66300,65500,65800,16816
20211117,67500,67500,66000,66200,30451
20211116,67200,68000,67000,67700,11165
20211115,67400,67800,66700,67800,13342
20211112,66600,67600,66500,67400,23731
20211111,67300,67400,66200,67000,21055
20211110,68100,68400,67000,67500,16498
20211109,68600,69100,67800,68400,29243
20211108,69300,69300,67700,68600,20645
20211105,70400,70400,69100,69400,24409
20211104,70700,71200,70200,70300,13095
20211103,70600,71200,70200,70300,10779
20211102,70000,71700,70000,70900,11940
20211101,70700,70800,70000,70200,9548
20211029,70500,70900,70000,70100,17729
20211028,71400,71500,70400,70500,18347
20211027,72500,72500,71100,71500,14521
20211026,72600,72700,72100,72500,5950
20211025,72200,72600,71500,72500,13887
20211022,71200,72100,71200,72000,7620
20211021,71600,72200,71400,71400,6621
20211020,72000,72500,71600,71700,11379
20211019,72700,72900,72000,72000,7377
20211018,71800,72600,71300,72000,11396
20211015,71800,72400,71300,72100,17709
20211014,71200,72300,71200,72300,15344
20211013,70000,71400,70000,71200,11775
20211012,70900,71000,69800,70100,14184
20211008,71600,71700,70800,71000,17088
20211007,69800,71900,69800,71600,14069
20211006,70100,71800,69600,70000,28034
20211005,69800,70800,69700,70500,22284
20211001,70600,71000,70100,70400,16640
20210930,70800,71100,70600,71000,16524
20210929,71200,72600,70800,71000,20113
20210928,72000,72300,71500,71800,13863
20210927,72000,72700,72000,72100,7511
20210924,72100,72800,72000,72400,9884
20210923,71900,72800,71500,72400,22367
20210917,72500,73100,72200,72400,15114
20210916,73700,74000,72600,72700,22247
20210915,73800,74200,73400,73700,18081
20210914,74300,74800,73700,73900,20328
20210913,74200,74800,73300,73500,19660
20210910,73800,74800,72800,74000,24362
20210909,74500,74700,72600,72600,34308
20210908,74700,75000,73900,74100,22348
20210907,75300,75600,74600,75100,11358
20210906,74500,75900,74400,75600,14065
20210903,73800,75300,73800,74400,14825
20210902,74200,74900,73700,73800,19010
20210901,73600,75000,73600,74600,20781
20210831,74700,74800,73200,73700,25120
20210830,73700,76600,73600,74700,21001
20210827,73000,74300,72700,73300,22385
20210826,73700,74800,73200,73300,20680
20210825,73600,74700,73000,74200,20783
20210824,73000,73800,72200,72900,32133
20210823,72500,73000,71400,71500,28205
20210820,73400,73500,70800,70900,30293
20210819,77400,77400,73400,73400,46536
20210818,77500,78800,76300,77600,22335
20210817,79400,80100,77900,78100,21230
20210813,81300,81400,79000,79800,25003
20210812,80800,81300,80500,81100,20989
20210811,80100,80900,80100,80400,11425
20210810,80800,81300,80100,80200,24362
20210809,81600,81600,80300,80800,33427
20210806,83500,83500,81600,81800,23183
20210805,83200,84100,82800,83500,13834
20210804,82600,84000,82000,83800,14608
20210803,84400,84500,82300,82500,15507
20210802,83000,85600,82800,84400,31234
20210730,82700,83000,81300,81300,34838
20210729,82700,83500,82600,83000,13081
20210728,83000,83600,82300,82900,15505
20210727,84000,84600,83000,83100,13356
20210726,84900,84900,83500,83600,20072
20210723,85400,85700,84500,84900,11671
20210722,85100,85800,84900,85200,11916
20210721,85000,85800,84300,85100,14341
20210720,84700,85400,84500,85300,12427
20210719,86100,86100,84900,84900,11151
20210716,86700,87300,86200,86300,17958
20210715,87200,87600,86700,87600,16513
20210714,86500,88100,86100,87200,19279
20210713,87600,88400,87000,87000,15999
20210712,86500,88200,86400,87000,19462
20210709,90800,91500,85400,86200,45052
20210708,89600,92300,89600,90500,30448
20210707,88600,90700,88500,90400,13723
20210706,90500,90500,88800,89300,9795
20210705,88600,90200,88600,89800,9389
20210702,89600,90700,88500,88600,16312
20210701,90500,91100,89700,90700,15321
20210630,90700,91400,89800,90400,20916
20210629,88400,90800,88100,90800,26628
20210628,88800,88800,87900,88300,16229
20210625,88700,90000,88700,89100,12825
20210624,87200,89700,86600,89500,19321
20210623,87500,88300,86800,87700,19830
20210622,86800,88000,86800,87600,12179
20210621,88800,89300,86600,86600,38165
20210618,92000,92000,88500,89200,47655
20210617,89800,92900,89200,91600,48782
20210616,89000,90000,88600,89200,26641
20210615,90000,90400,88800,89300,37184
20210614,89500,90500,89100,90000,36174
20210611,88800,90100,88800,89400,17855
20210610,89700,90500,89000,89000,45253
20210609,90100,92300,89700,89700,25323
20210608,92000,93300,90700,90700,16621
