,open,high,low,close,volume
20220106,850926,855868,825231,828195,82993
20220105,870692,871681,843020,850926,97964
20220104,891447,900341,874646,877610,71942
20220103,892435,909236,891447,900341,46588
20211230,947780,947780,885517,892435,175055
20211229,888482,894412,873657,879587,72407
20211228,880575,882552,872669,880575,91908
20211227,874646,886505,874646,875634,57862
20211224,885517,892435,874646,874646,50009
20211223,890458,894412,871681,885517,69075
20211222,904295,914178,887493,890458,81385
20211221,925049,933944,913189,918131,48913
20211220,949756,950745,919119,924061,65625
20211217,941850,955686,931967,943827,141826
20211216,906271,947780,906271,946791,288778
20211215,888482,901330,884529,893423,80391
20211214,875634,884529,861798,879587,75796
20211213,896388,899353,860809,861798,79128
20211210,896388,905283,890458,890458,39993
20211209,903306,908248,889470,905283,97750
20211208,872669,909236,871681,903306,140973
20211207,875634,881564,839067,866739,94813
20211206,890458,898365,874646,890458,47530
20211203,865751,893423,861798,889470,59299
20211202,875634,885517,854880,881564,60446
20211201,879587,904295,875634,880575,96529
20211130,876622,894412,873657,878599,120806
20211129,877610,909236,865751,873657,114973
20211126,834125,873657,832149,859821,72202
20211125,835114,844997,835114,837090,25115
20211124,841043,854880,837090,839067,42294
20211123,858833,866739,842032,844997,60624
20211122,873657,885517,862786,865751,70243
20211119,844008,881564,840055,881564,113001
20211118,835114,841043,824242,831160,39844
20211117,857844,860809,835114,840055,50552
20211116,855868,864763,841043,861798,46272
20211115,835114,862786,830172,853891,77516
20211112,810406,834125,810406,823254,46978
20211111,803488,810406,801511,809418,39831
20211110,811394,826219,804476,810406,57765
20211109,811394,826219,810406,816336,39630
20211108,840055,844008,798546,813371,98141
20211105,854880,862786,840055,853891,49568
20211104,871681,878599,853891,854880,46449
20211103,865751,869704,851915,863774,38382
20211102,857844,872669,857844,863774,36835
20211101,866739,872669,859821,863774,39915
20211029,885517,888482,855868,860809,56079
20211028,897376,897376,875634,875634,77170
20211027,884529,897376,882552,887493,88885
20211026,867727,878599,859821,868716,51714
20211025,866739,868716,850926,866739,40174
20211022,857844,872669,856856,869704,43642
20211021,864763,866739,850926,857844,39375
20211020,859821,876622,857844,864763,43558
20211019,859821,860809,848950,857844,30571
20211018,865751,866739,847961,847961,45794
20211015,853891,860809,844997,858833,63831
20211014,831160,848950,825231,848950,61657
20211013,824242,831160,819301,819301,45456
20211012,830172,834125,811394,824242,84356
20211008,818312,820289,802500,820289,61221
20211007,788663,814359,788663,805465,80755
20211006,808429,813371,773839,781745,141221
20211005,839067,848950,797558,802500,172831
20211001,861798,872669,859821,864763,54000
20210930,856856,871681,855868,863774,59902
20210929,844008,867727,839067,863774,103387
20210928,902318,902318,858833,860809,181226
20210927,914178,924061,906271,909236,51732
20210924,910224,915166,904295,911213,47441
20210923,908248,928014,908248,909236,50625
20210917,906271,922084,903306,922084,72071
20210916,925049,930979,905283,905283,56518
20210915,908248,929002,904295,925049,77675
20210914,905283,908248,899353,902318,55888
20210913,909236,918131,897376,902318,46291
20210910,908248,924061,908248,914178,60465
20210909,914178,919119,898365,902318,104742
20210908,933944,938885,919119,920107,69796
20210907,938885,941850,934932,938885,38966
